zpid , street , zipcode , city , state , latitude , longitude , price , bedrooms , bathrooms , finishedSqFt , lotSizeSqFt , yearBuilt , yearUpdated , numFloors , view , parkingType , heatingSources , heatingSystem , rooms , neighborhood , schoolDistrict , homeDescription 
40000758,109 Farley Ave,7023,FANWOOD,NJ,40.639428,-74.395278,NA,3,1.5,1816,5662,1947,NA,NA,NA,NA,NA,NA,"Family room, Dining room",NA,NA,"Move right into this beautifully updated FanwoodColonial. Fabulous location in desirable neighborhood. Perfect forcommuters, this home is just blocks from NYC transportation. Livingroom w/ fireplace, dining room w/ corner cabinets, hardwood floorsthroughout, finished basement, central air conditioning, fencedback yard, and 2 car garage with add'l storage. Updated kitchen andbathrooms. Plus newer roof, siding, and windows. New furnaceinstalled in 2012."
40000759,107 Farley Ave,7023,FANWOOD,NJ,40.639337,-74.395125,NA,3,2,1243,5227,1953,NA,2,NA,Garage - Attached,NA,NA,"Dining room, Family room, Laundry room, Mud room, Walk-in closet",NA,NA,This classic colonial is located in one of the nicest areas of Fanwood. Only minutes away from NYC train and bus. Kitchen cabinets and wood floor in kitchen new. Hardwood floors thruout. Mud room. Ample storage in attic.
40000760,105 Farley Ave,7023,FANWOOD,NJ,40.639202,-74.395036,NA,3,1.5,NA,7548,1935,2008,2,NA,Off-street,Gas,"Radiant, Other","Dining room, Master bath, Office",NA,NA,NA
40000761,95 Farley Ave,7023,FANWOOD,NJ,40.639086,-74.394683,NA,4,1.5,1630,6098,1930,NA,3,NA,NA,NA,NA,NA,NA,NA,"Meticulously maintained colonial with front porch nestled on lush grounds. Updated kitchen and bathrooms. 4th possible bedroom walk up finished attic. Walk to train, town & schools.Upgrades: Jetted tub by Porcelanosa, cedar lined closets, gas fieplace, crown moldings, paver patio, stone chimney (exterior)."
40000762,57 Paterson Rd,7023,FANWOOD,NJ,40.638952,-74.39491,NA,4,2.5,1940,5662,1972,NA,NA,NA,Garage - Attached,"Gas, Electric","Forced air, Other",NA,NA,NA,"FANTASTIC 4 BR COLONIAL on quiet tree-lined street w/ Newly Refin. HWF, Gas FP and LOTS OF UPDATES: EIK W/ S/S Appl, Cherry Cabinets, LG Pantry w/ built-in drawers and Jenn Air Oven/Refrig.;, ALL BATHS, SIDING, WINDOWS, FURN, CAC, DRIVEWAY and more. Eat-in KIT has great counter and cabinet space and opens to a spacious FAM RM w/ sliders to a 2- TIERED TREX DECK and stunning PAVER PATIO overlooking Beautiful Prof. Landscaped fenced-in yard w/ storage shed and fountain. Large basement has Rec Room, Crawl space w/ tremendous storage, Laundry RM, and an Amazing Woodshop. WONDERFUL LOCATION - CLOSE to TRAIN TO NYC, Schools, Downtown and Parks. This is truly a fantastic place to call home!"
40000765,45 Elm Ave,7023,Garwood,NJ,40.637629,-74.39487,NA,4,3,1400,10018,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quite charming, expanded 4-5 bedroom, 3 bath home on park like lot in great town. Hardwood flrs, wood burning fireplace, incredible 2 room master suite w/private deck. Home also features huge modern kitchen with granite counters, beautiful custom cabinetry, and large center island, large formal dining room with French pocket doors off kitchen, finished basement, very private yard, much more. This is a very special home!!!"
40000766,39 Elm Ave,7023,FANWOOD,NJ,40.637525,-74.394668,NA,3,2,1387,8581,1959,NA,1,NA,Garage - Attached,NA,NA,NA,NA,NA,NA
40000767,35 Elm Ave,7023,FANWOOD,NJ,40.637424,-74.39452,NA,4,2,2430,7405,1925,NA,2,Territorial,Off-street,Gas,Forced air,"Breakfast nook, Dining room, Family room, Master bath, Office, Sun room",NA,NA,"Lovely 11-room mission-style home w/in-ground pool. Well-known excellent school system. Listed in NJ Monthly magazine as 3rd top-ranked town.  Well built, well maintained, updated, move-in condition. Enjoy character of an older home along with 9? ceilings. Quiet street with minimal traffic. Short walk to Fanwood?s Victorian train station with ready access to NYC and other key destinations via New Jersey Transit. 17 KW natural gas generator capable of running whole house & pool. Generator installed just in time to save family from the ravages of Hurricane Sandy. Home was up and running smoothly while so many others, unfortunately, were not. Many features include new basement office with 3rd entrance, front and rear yards, gas-fired furnace heat, attic, etc."
40000769,31 Elm Ave,7023,FANWOOD,NJ,40.63721,-74.394288,NA,3,2,832,10454,1960,NA,NA,NA,Off-street,NA,Baseboard,Dining room,NA,NA,NA
40000770,21 Elm Ave,7023,FANWOOD,NJ,40.637077,-74.393843,NA,4,2,1720,16200,1954,NA,1,NA,Garage - Detached,Gas,NA,NA,NA,NA,NA
40000771,29 North Ave,7023,FANWOOD,NJ,40.636957,-74.393436,NA,NA,NA,2660,5662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000774,15 North Ave,7023,FANWOOD,NJ,40.636702,-74.394015,NA,4,3,2570,23522,1910,NA,2,City,Garage - Detached,NA,NA,"Dining room, Family room, Laundry room, Master bath, Pantry",NA,NA,"A perfect blend from the ""lemonade"" front porch to the huge kitchen, family room, screen porch and master bedroom w/en suite addition (2012).  There are beautiful original details: Dutch front door w/stained glass side panels; stained glass windows, pocket doors, moldings, fireplace (non-functioning), and French doors.  The addition has a huge kitchen with custom cabinetry, granite counters, center island, separate pantry, glass front cabinetry. One step down is the family room with large, rubble stone fireplace with an insert and glass front cabinets on either side. Also off the kitchen is a screened porch that leads to a deck.  The second floor has three good sized bedrooms and bath. The addition includes a laundry room, and master bedroom with cathedral ceiling and en suite bath."
40000777,361 Terrill Rd,7023,FANWOOD,NJ,40.636323,-74.394298,NA,NA,NA,1006,5201,1920,2009,NA,NA,Off-street,Gas,Baseboard,NA,NA,NA,"Charming renovated Cpe with Updated Kitchen, expanded master suite, in move in condition, fenced back yard with paver patio. In addition to newer appliances and a clean and dry basement with walkout capability this Home is located only a few blocks from the train station and represents a very convenient commute to Newark/New York."
40000778,357 Terrill Rd,7023,FANWOOD,NJ,40.636407,-74.394441,NA,3,2,NA,4791,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charming Colonial-enclosed sun room ,finished heated attic,5 yr.old roof,new drivwy,newer windws,close to transp. and shopping.Only 1 space in garage for tenant.Landlord will do lawn maintenance"
40000779,353 Terrill Rd,7023,FANWOOD,NJ,40.636549,-74.394521,NA,2,1,NA,7405,NA,NA,NA,NA,Garage - Detached,Gas,Baseboard,NA,NA,NA,"Just Reduced! Newly renovated home convenient to Fanwood NJ Transit train station and downtown,as well as local shopping and major highways. Features freshly painted exterior, new roof, newer boiler some new plumbing, refinished wood floors,granite kitchen with SS appliances, bath, MBR has double doors to large rear deck, deep lot, oversized garage has many potential uses. Bright and airy home! Show and sell!"
40000780,345 Terrill Rd,7023,FANWOOD,NJ,40.636776,-74.394761,NA,3,2,1300,10402,1920,2006,2,NA,Off-street,NA,NA,"Dining room, Family room",NA,NA,NA
40000782,337 Terrill Rd,7023,FANWOOD,NJ,40.636934,-74.395053,NA,4,3,2300,10001,1920,2013,2,NA,"Garage - Detached, Off-street",Gas,Forced air,"Dining room, Family room, Laundry room, Master bath, Mud room, Office, Pantry, Recreation room, Workshop, Walk-in closet",NA,NA,"Updated colonial with a new two story addition that includes all new bathrooms, a master suite and family room. Spacious detached garage provides plenty of storage along with a full basement with a large activity room."
40000786,321 Terrill Rd,7023,FANWOOD,NJ,40.637165,-74.395744,NA,3,2,1247,4791,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000788,14 Paterson Rd,7023,FANWOOD,NJ,40.637405,-74.395678,NA,3,2,NA,8712,1958,NA,2,NA,Garage - Attached,Gas,Forced air,Dining room,NA,NA,"Well-kept home w/ Open First Floor Plan; Enjoy the lovely morning sun as you look out the sliding doors to deck w/ Sun Shade Awning, Large Back Yard. Ground Floor Laundry Rm, Den/TV Room, 1/2 Bath. Finished Basement Rec Room; 3 Spacious Bedrooms and Full Bath on 2nd Floor; Plenty of Storage in Full Attic; Hardwood Floors under existing Wall to Wall Carpeting; Castle Replacement Windows installed 2007; New Steps & Walkway (2014); Newer Gas Furnace (2011); New Water Heater (2015). Nice Neighborhood conveniently located within minutes to Shopping, Restaurants, Parks, Commuter Routes. Schedule your tour today!"
40000790,26 Paterson Rd,7023,FANWOOD,NJ,40.637624,-74.395249,NA,3,2,1750,10454,1930,NA,3,NA,Garage - Detached,Gas,Forced air,Dining room,NA,Scotch Plains Fanwood School District,"Welcome to this 3 bedroom, 2 full bath colonial on a tree lined street in Fanwood. Home features gleaming hardwood floors, an updated kitchen with stainless steel appliances and granite countertops. Second floor features 3 generously sized bedrooms with 1 updated full bathroom. Large backyard with firepit, new pavers and a covered porch for entertaining or relaxing. Basement features an office, laundry room, a recreation area and a full bathroom. This house is sure to impress!"
40000792,83 Farley Ave,7023,FANWOOD,NJ,40.638796,-74.394054,NA,4,2,1286,9583,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wow, what a BEAUTIFUL Back Yard. Absolutely STUNNING Eat-in Kitchen with center island, granite countertops, and stainless steel appliances. WALK to Train and Schools.Exterior was stripped and repainted recently. Newer powder room. Sun room / den repainted."
40000794,67 Farley Ave,7023,FANWOOD,NJ,40.638612,-74.393255,NA,4,2,1716,13503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charming! 4 bedroom Colonial. Open front porch, beautiful HW floors,  large living room with wood burning fireplace, formal dining room, new kitchen, 2 full baths,  enclosed rear porch, new furnace, recreation room, den. Located on a large lot and close to town, transportation and schools. Don't miss this one, it is sure to delight!"
40000796,49 Farley Ave,7023,FANWOOD,NJ,40.638429,-74.392622,NA,4,3,NA,5876,NA,NA,1,NA,Garage - Attached,Gas,Forced air,"Dining room, Master bath, Mud room, Walk-in closet",NA,NA,"Charming Colonial with Great Curb Appeal in Desirable Neighborhood located Close to Fanwood Train Station features Renovated Kitchen & Baths, MBR Suite w/Walk-in Closet, 1st Floor BR/Den, HWF's & CAC. A wonderful Place to Come Home to and Relax surrounded by the Quiet Charm of Yesteryear and the Modern Conveniences of today. Stainless Steel Appliances,  Beautiful Cabinetry, Granite Counters, Bookshelves & Nooks, Built-in Dresser, Sunlight Streaming through all New Windows, Solid Wood Raised Panel Doors, Soothing Tiles & Bathroom Skylight, Generous Closet Space & Cedar Closets, Energy Efficient Gas Furnace & HWH, Lovely Screened-in Back Porch overlooking Lush Landscaping.  Top Rated Schools & Great Community.  Imagine the Peacefulness of Living Here and Gathering with Your Loved Ones for Years to Come."
40000800,73 North Ave,7023,FANWOOD,NJ,40.638046,-74.39191,NA,3,3,2184,100100,1912,2007,2,NA,"Garage - Detached, Off-street",Gas,Radiant,"Dining room, Family room",NA,NA,"~ Coming Soon! ~ Reach out to Marjorie @ 201-889-1734 for details or to arrange for a private tour. Stellar location! Walk to NYC Train. Come enjoy this serene setting from your expansive Open Front Porch and beautiful Rear Deck. This 3 Bedroom, 2 1/2 Bath Colonial has been tastefully updated while still maintaining its original charm and period details. The 9 ft ceilings add to the Open, Welcoming Flow. If a spectacular Kitchen is important to you, you will fall in love with this Home! The Kitchen opens to the Family Room and also has a welcoming view of the Banquet Size Dining Room. Do you desire a Master Bath ~ you will be delighted with this one! Enjoy Central Air and Gas Heat. Check your calendar and be the first to visit this home!"
40000802,5 Oak Ct,7023,FANWOOD,NJ,40.638032,-74.392347,NA,3,1.5,NA,7501,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,Immaculate home located on a cul-de-sac minutes to train and schools. Wonderful neighborhood. This home features many custom upgrades: a beautiful eat-in kitchen w/granite counters and S/S
40000803,7 Oak Ct,7023,FANWOOD,NJ,40.638108,-74.392599,NA,4,2,1816,7405,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Immaculate Updated split in desirable cul-de-sac location. Near NYC transportation, schools and town center. Wonderful open floor plan with 4 bedrooms and 2 full baths. Neutral and sylish decor with hardwood floors throughout. Formal living room, Dining Room, spacious kitchen with newer appliances, newer windows and HVAC system. Sunlit Family Room with sliding glass doors to the deck. Private backyard setting enhanced by the beautiful wildflower garden. The large finished rec room with extra storage completes this meticulously cared for and truly move-in condition home."
40000807,15 Oak Ct,7023,FANWOOD,NJ,40.63844,-74.393638,NA,3,3,1609,9239,1960,NA,3,None,"Garage - Attached, Off-street",NA,NA,NA,NA,NA,NA
40000810,58 Paterson Rd,7023,FANWOOD,NJ,40.638544,-74.394407,NA,3,1.5,NA,13760,NA,NA,2,NA,Garage - Detached,NA,NA,NA,NA,NA,"Deck, Storm Doors/ Storm Windows, Carpeting, Ceramic Tile, Wood "
40000813,10 Oak Ct,7023,FANWOOD,NJ,40.63783,-74.393224,NA,3,2,1534,8276,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Move-In Condition! New roof, Exterior & interior of home freshly painted. New 6-panel doors throughout. Updated kitchen. Home is on a desirable cul-de-sac location. 3 spacious bedrooms."
40000814,8 Oak Ct,7023,FANWOOD,NJ,40.637737,-74.392982,NA,3,2,1800,9448,1950,NA,2,None,Garage - Attached,NA,NA,"Dining room, Family room, Laundry room",NA,NA,NA
40000816,57 North Ave,7023,FANWOOD,NJ,40.637455,-74.392558,NA,3,1,908,7841,1948,NA,1,NA,Garage - Attached,NA,NA,Dining room,NA,NA,"A home to see!! This is a lovely ranch located in close proximity to Fanwood Train Station, Newark and NYC buses, schools, parks, and shopping.  This home features 3 bedrooms, an eat-in kitchen, vinyl siding, updated electrical, a 7 year old roof, and a bay window."
40000819,8 North Ave,7023,FANWOOD,NJ,40.636083,-74.393575,NA,3,1,1076,8712,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Well maintained home featuring 3 BRs, 1Ba, LR, DR, Fam Room and Open kitchen. Finished basement with rec room, laundry and office (currently used as 4th BR). Also offers Central A/C and manicured yard!"
40000825,66 North Ave,7023,FANWOOD,NJ,40.637336,-74.391782,NA,3,2,1688,15681,1910,NA,NA,NA,Garage - Detached,Gas,NA,Dining room,NA,NA,NA
40000826,74 North Ave,7023,FANWOOD,NJ,40.637504,-74.391557,NA,3,2,1129,12632,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GREAT PRICE! Sunny Cape Cod offers LR, formal DR, 1st flr BR and bath,eat-in kitchen w/lots of cabinets, high basmnt w/recroom. 2nd flr has 2/3 BR's and full bath . Beaut fenced yard; Vict. playhse incl."
40000828,80 North Ave,7023,FANWOOD,NJ,40.637762,-74.39119,NA,3,2,1800,17600,1922,NA,2,None,"Garage - Detached, Off-street",Oil,Radiant,"Dining room, Office",NA,NA,NA
40000829,90 North Ave,7023,FANWOOD,NJ,40.637985,-74.390831,NA,3,3,NA,27442,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture perfect charming bungalow style cape w/craftman style details, situated on .63 acres of lovely landscaped property. The many updates in the last 7 years incl:roof,kitchen,full bath,siding, hot water heater.Living room with sitting room area, beautiful stone fireplace and hardwood floors.Fabulous updated kitchen with abundant cabinet space,granite countertops,center island with sink, and stainless steel appliances. Formal dining room with vaulted ceiling. French doors lead to the family room den w/easy access to the deck, spacious rear yard and 2 car detached garage. A first floor bedroom and full bath complete this level.Second level has a spacious master bedroom,2nd bedroom, updated full bath and loft/sitting rm area w/vaulted ceiling and hardwood flrs.Close to NYC transportation,town,and schools. Full bath and heat in basement."
40000836,140 North Ave,7023,FANWOOD,NJ,40.639055,-74.389292,NA,4,2.5,2500,30901,1942,NA,NA,NA,Garage - Attached,NA,NA,"Dining room, Family room, Laundry room, Master bath, Mud room, Walk-in closet",NA,NA,NA
40000842,186 North Ave,7023,FANWOOD,NJ,40.639834,-74.387701,NA,3,3,2100,20160,1920,1969,2,None,Garage - Detached,Gas,Baseboard,"Breakfast nook, Dining room, Family room, Laundry room, Workshop, Walk-in closet, Office",NA,NA,NA
40000843,196 North Ave,7023,FANWOOD,NJ,40.639972,-74.387196,NA,5,5,1120,22072,2017,NA,NA,NA,Garage - Attached,Gas,NA,Dining room,NA,NA,NA
40000845,22 Watson Rd,7023,FANWOOD,NJ,40.639153,-74.392009,NA,4,2,2540,25099,1950,2000,2,Water,Garage - Detached,Oil,Forced air,"Dining room, Family room, Laundry room, Library, Mud room, Office, Pantry, Recreation room, Workshop, Breakfast nook, Master bath",NA,NA,"Comfortable, well maintained, home, ideal for raising a family. Convenient for NYC commuter. "
40000848,48 Watson Rd,7023,FANWOOD,NJ,40.63979,-74.391408,NA,3,2,1600,8159,1935,NA,2,NA,Garage - Attached,Gas,NA,NA,NA,NA,NA
40000849,50 Watson Rd,7023,FANWOOD,NJ,40.639918,-74.391175,NA,3,1.5,1614,8276,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Welcome to a fabulous colonial on a gorgeous corner property with amazing landscaping located two blocks from train.This home has all the rooms you have been wishing for w/ an ideal layout! The first level has a dining rm, living rm w/ woodburning fire place, family room PLUS an all glass room off the family room that is heated and central air conditioned. You can have a den and/or an office and/or a play room all on one level. Master bedroom has 4 closets! 2011 updates - NEW WINDOWS, NEW FURNACE, NEW HOT WATER HEATER, NEW SUMP PUMP, NEW PAVER PATIO, NEW LANDSCAPING, FINISHED BASEMENT, NEW MAIN BATH, REFINISHED HARDWOOD FLOORS. Garage is attached w/access to house. Nothing to do but move in here!!"
40000850,27 Hunter Ave,7023,FANWOOD,NJ,40.639721,-74.391057,NA,3,2,2400,8738,1929,NA,2,None,Garage - Detached,NA,NA,"Breakfast nook, Dining room, Family room, Laundry room, Mud room, Pantry, Workshop, Sun room",NA,NA,NA
40000851,25 Hunter Ave,7023,FANWOOD,NJ,40.639611,-74.390874,NA,4,4,3000,14174,1927,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000852,21 Hunter Ave,7023,FANWOOD,NJ,40.639548,-74.390562,NA,3,2,1488,11325,1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charming Carriage House nestled on a tree lined street within minutes to NYC Commutation, Downtown Fanwood, Library, Houses of Worship and Shopping.  First floor boasts high ceilings, hardwood floors stone fireplace,  formal dining room featuring sunny window seat, large country kitchen,  laundry/powder room.. Second floor offers 3 bright sunny bedrooms, main bath and a 1/2 bath off rear bedroom.   Home was originally part of the Kleb Family Estate and later owned by the Beardsley Family.  It was moved from its original site to its present site over 60 years ago.  Attic with pull down stairs, large storage shed.  New washer and dryer.  Full basement, gas heat.  Home has been lovingly maintained by the present owner but needs a little TLC.  W/S as is.  Gas heat except for the laun , fam rm &sec fl 1/2 ba"
40000853,15 Hunter Ave,7023,FANWOOD,NJ,40.639504,-74.390157,NA,4,3,2052,10764,1967,NA,NA,NA,NA,NA,"Forced air, Other",NA,NA,NA,"Location, quality of construction and a surprisingly spacious interior mingle to craft an ideal home. Built by a well-known builder, Bob Newman, this lovely Colonial charms you with hardwood floors, sun-filled rooms, an easy flow and wonderful amenities. The large family room with brick fireplace leads to a generous eat-in kitchen offering a laundry area and access to the deck & backyard. The living room and dining room welcome all. The master bedroom with bath and two large closets, plus three additional bedrooms and bath, complete the upstairs. Central air-conditioning, plenty of storage in the attic and basement with workshop and wine cellar and a deep, built-in garage add to the value of his home. Conveniently located near Fanwood's Victorian train station and the downtown area, this classic Colonial is the perfect place to call home."
40000858,95 North Ave,7023,FANWOOD,NJ,40.638806,-74.3912,NA,NA,2,2281,24089,1901,NA,NA,NA,Garage - Attached,Gas,Forced air,"Dining room, Family room, Laundry room, Mud room, Office, Recreation room, Workshop, Breakfast nook",NA,NA,"Beautifully Preserved and Thoughtfully Updated-4 Bdrm,2 Bth Victorian W/ Wrap-Around Porch,1/2 Acre, Quiet St Close To Town and Train-1St Flr Family Rm,Office,New Appls,Hrdwd Flrs,Cac,Gas Heat,Updtd Elec - Walkout Basement Waiting To Be Finished - Walkup Attic - This Is The Quiet Part Of North Avenue Very Close To Town/Train - Stunning Home With Tons Of Charm and Move in Ready"
40000859,30 Farley Ave,7023,FANWOOD,NJ,40.638567,-74.391482,NA,4,3,3500,18382,2012,NA,1,NA,Garage - Attached,Gas,Forced air,"Dining room, Family room, Laundry room, Library, Master bath, Office, Recreation room, Workshop, Walk-in closet",NA,NA,New center hall colonial with 2 story foyer. Great spacious rooms with all custom features.  Master suite.  Fully finished basement.  Hardscaped custom patio.  Easy access to Fanwood train station and all major highways.  
40000861,50 Farley Ave,7023,FANWOOD,NJ,40.63882,-74.392177,NA,4,3,2200,10001,1914,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000866,96 Paterson Rd,7023,FANWOOD,NJ,40.639627,-74.393365,NA,3,2.5,1280,6899,1920,NA,2,NA,Garage - Detached,Gas,Baseboard,Dining room,NA,NA,"Looking for that special home? One that is not a cookie cutter style?  Perched upon a small hill, you will find this very charming Craftsman Style Colonial with open flow offering an eclectic blend of old and modern. Entering onto the enclosed front porch, the width of the home, finds a set of French doors to the dining Rm and also a door to the formal living room with wood burning fireplace, recessed lighting and refinished hardwood flooring.  Beyond the dining room finds a long galley kitchen fit for a chef. It features stainless steel appliances, granite countertops and overlooks the family room addition with sliders to a reset paver patio. Family room incorporates powder room, recessed lighting and stools to hang out at the kit counter. Close to NYC Train"
40000867,100 Paterson Rd,7023,FANWOOD,NJ,40.63972,-74.393226,NA,4,2,1876,7087,1958,NA,2,NA,Garage - Attached,NA,NA,"Dining room, Family room",NA,NA,NA
