zpid 	 street 	 zipcode 	 city 	 state 	 latitude 	 longitude 	 price 	 bedrooms 	 bathrooms 	 finishedSqFt 	 lotSizeSqFt 	 yearBuilt 	 yearUpdated 	 numFloors 	 view 	 parkingType 	 heatingSources 	 heatingSystem 	 rooms 	 homeDescription 	 neighborhood 	 schoolDistrict 
40001043	36 Old South Ave	07023	FANWOOD	NJ	40.643184	-74.379216	NA	3	1.0	1279	17997	1959	NA	NA	NA	NA	Gas	NA	NA	NA	NA	Custom built for original owner,2nd Full Bath in Fin Bsmt,CAC 2009,Ruud Furnace 2009,Hwd floors,Attached Garage plus 2 driveways,maint free brick exterior, a terrific opportunity
40001044	32 Old South Ave	07023	FANWOOD	NJ	40.643183	-74.379651	NA	6	4.0	2450	9794	1955	2009	2	NA	Garage - Attached	NA	NA	NA	NA	NA	NA
40001045	28 Old South Ave	07023	FANWOOD	NJ	40.6431	-74.379913	NA	3	2.0	1784	9879	1963	NA	1	NA	Garage - Attached, Off-street	Gas	Forced air	Dining room, Laundry room	NA	NA	This home was the Model for the other Bi-Levels on the Street! Eat-in Kitchen w/granite counters and Stainless Steel Appls. Ceramic tile floors. New Windows ,HWH,Furnace! Full bathroom redone in 2017 with marble double vanity.
40001052	12 Ridge Way	07023	FANWOOD	NJ	40.645249	-74.382097	NA	3	3.0	2238	9840	1955	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cul-de-sac, Newer Siding, Close to SP-F Town Center and NYC train, 3 Bed, 3 Bath completely renovated, Master bath w/steam roomUpdated & modern kitchen w/beautiful granite counter top. Large living room and dining room with hardwood floor wood burning fire place in living room. New paving stone on driveway and backyard patio. Beautiful landscaping. Newer furnace and Central Air 3 Zones for heating system, New Anderson windows Many updates.
40001053	10 Ridge Way	07023	FANWOOD	NJ	40.645093	-74.382342	NA	3	3.0	1600	7200	1955	NA	1	None	Garage - Attached, Off-street	Gas	Baseboard	Dining room, Family room, Laundry room, Master bath, Recreation room, Sun room	NA	NA	NA
40001060	70 Tillotson Rd	07023	FANWOOD	NJ	40.644438	-74.384195	NA	4	3.0	2795	23671	1925	2003	2	NA	Garage - Detached	Gas	Other	Breakfast nook, Dining room, Family room, Laundry room, Master bath, Workshop, Sun room	NA	NA	NA
40001061	66 Tillotson Rd	07023	FANWOOD	NJ	40.644274	-74.384371	NA	4	3.0	2850	21344	1987	NA	NA	NA	NA	NA	NA	NA	NA	Scotch Plains Fanwood School District	Very Sapc CH Col. Near NYC train, town and library. Country eat-in kitchen w/ large EI area opens to FR w/ FPL. New HWD flrs in Kit and FR. Newly finished basement w large Rec rm /wet bar,half bath., 2 story EF, Kit w/sliders to deck, 284'deep almost half an acre. Graciously set back from tree lined street.
40001070	311 North Ave	07023	FANWOOD	NJ	40.6436	-74.383755	NA	6	3.0	4000	23550	1875	2017	4	NA	Off-street, On-street	NA	NA	Dining room, Family room, Laundry room, Mud room, Office, Pantry, Workshop, Walk-in closet	NA	NA	Really nice home, makes for a comfortable and customizable life. Is purple and has a large patio in the back in addition to a big back yard.
40001088	383 North Ave	07023	FANWOOD	NJ	40.644946	-74.381168	NA	3	2.0	NA	12610	1930	NA	NA	NA	NA	NA	NA	NA	NA	Scotch Plains Fanwood School District	Traditionally appointed tudor with hardwood floors, chestnut moldings,CAC, 17x28 foot kitchen with viking stove and skyligts overlooking the deck, pond and garden. .4 miles to the train and bus.
40001093	395 North Ave	07023	FANWOOD	NJ	40.645338	-74.380301	NA	4	2.0	1219	11921	1941	NA	2	NA	Garage - Attached	NA	NA	NA	NA	NA	Welcome to this charming Colonial. This fine home has a formal living room&dning room, both with hardwood floors.The living room also has a fireplace The gourmet kitchen has wood cabinets &granite counter tops. There is a breakfast bar and separate eating area. The step down family room has a beautiful window overlooking the lush private yard. A full bath off the kitchen rounds out the first floor. The second floor boast four generous bedrooms and a full bath that was recently upgraded. There is also a full basement, covered deck and one car attached garage. All of this and close to town, just two shor blocks to NYC train and close to Scotch Plains Fanwood's great schools.
40001094	399 North Ave	07023	FANWOOD	NJ	40.645378	-74.380125	NA	3	2.0	1384	9267	1940	NA	2	NA	Garage - Attached	Gas	Forced air	Dining room, Family room, Laundry room, Master bath	NA	NA	Charming and sun filled home w/ Updated EIK kitchen w/ Subzero Refrigerator, Thermador cooktop, Corian tops and subway tile backsplash. Living Rm has wood burn FP flanked by built-ins, Beautiful renovated Master Bathroom with frameless door, Enclosed Rear porch w/ with bead board ceiling, Newly Refin. HWF, CAC, updated windows, fin. basement and laundry rm, deck, shed sits on a nice flat rear yard. Close to train, library, town, schools (Now with FULL DAY KINDERGARTEN, Forest Road Park and much more.
40001098	445 Midway Ave	07023	FANWOOD	NJ	40.646024	-74.382469	NA	3	3.0	NA	7702	NA	NA	1	None	Garage - Attached	NA	NA	NA	NA	NA	NA
40001100	435 Midway Ave	07023	FANWOOD	NJ	40.646002	-74.382926	NA	3	2.5	NA	7865	NA	2006	NA	NA	NA	NA	NA	NA	NA	NA	NA
40001105	116 Tillotson Rd	07023	FANWOOD	NJ	40.646245	-74.383912	NA	3	3.0	1900	5656	1956	NA	NA	NA	NA	NA	NA	Office	NA	NA	Whole House renovated 2011. All New: Kitchen w/SS appl, granite counters, ceramic tile floor, 30 yr roof, bath, high eff. HVAC, carpet fam. rm. HWflrs just finished. Vinyl siding. Great location, walk to train, NY bus on corner.
40001106	32 Glenwood Rd	07023	FANWOOD	NJ	40.646222	-74.38367	NA	3	2.5	1404	5332	1954	NA	NA	NA	NA	NA	NA	NA	NA	NA	*Move Right Into this fabulous home beautifully updated throughout * Ideally located one block to NYC bus, less than .5 mile to to NJ transit and short distance to schools * Sliding glass doors off dining room to large deck overlooking beautiful yard with privacy fence and storage shed * In addition, this wonderful home offers Anderson windows throughout, newer roof, vinyl siding, porch, central air, refinished floors, waterproofed basement, freshly painted interior and much more...
40001107	34 Glenwood Rd	07023	FANWOOD	NJ	40.646221	-74.383446	NA	3	1.5	NA	4816	1955	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mr and Mrs Clean live here.  Bring your fussiest neat freaks.The most convenient location. 1/2 mile to Train Sta, or schools. Huge basement Rec Room, Cozy Family Rm. Updated kitchen and bathrooms. Master with 1/2 bath and 2 closets.  Private backyard with storage shed.  Wonderful landscaping! Large entry vestibule with double coat closet. Brick patio out back for bar-b-q's.  Space for half bath near back door. Hardwood floors under carpeting. Replacement windows. Freshly painted
40001113	8 Rainier Rd	07023	FANWOOD	NJ	40.646202	-74.38215	NA	3	2.0	1722	7840	1954	NA	NA	NA	Garage - Attached	Gas	Forced air	NA	NA	Scotch Plains Fanwood School District	Move in condition. Light and tastefully decorated. Addition in 1988. New Renovations in 2014 for this home include Kitchen, 2 Baths and Thermopane Windows. Furnace 2004, Electrical Update 2007, HWH 2011 - Kitchen Features Ceramic Tile Floor, Stainless appliances, Granite Countertop with Breakfast Bar, Separate Dinette area with door to the deck and New French Door to Family Room. New wood floor in dinette and den area. Hardwood floors 1st and 2nd levels. Marble entrance and hallway. New Front Door. Some Panel Doors. So much to appreciate.
40001118	18 Rainier Rd	07023	FANWOOD	NJ	40.646005	-74.380928	NA	3	2.0	NA	NA	1960	NA	NA	NA	Garage - Attached	Gas	Forced air	NA	NA	NA	NA
40001120	22 Rainier Rd	07023	FANWOOD	NJ	40.646031	-74.380321	NA	3	1.5	1944	17231	1955	2013	1	NA	Garage - Attached	Gas	Forced air	Family room	NA	NA	NA
40001125	133 Glenwood Rd	07023	FANWOOD	NJ	40.64682	-74.379753	NA	4	3.0	NA	7065	1955	2005	5	NA	Garage - Attached	Gas	Forced air	Breakfast nook, Dining room, Family room, Laundry room, Master bath, Pantry, Walk-in closet	NA	NA	NA
40001129	5 Shasta Pass	07023	FANWOOD	NJ	40.646085	-74.379734	NA	3	2.0	1554	8385	1954	NA	NA	NA	Garage - Attached	Gas	Forced air	NA	NA	NA	Welcome to this Fanwood move-in ready home just steps away from NYC transportation. Move-in ready contemporary open floor plan home is located in desirable town of Fanwood steps away from the NYC bus line. Home offers tons of natural light in the living room and kitchen area with tall ceilings and extra large windows. It features hardwood floors and a backyard with an oasis feel. The kitchen has Stainless Steel appliances and granite countertops. The kitchen opens to the living room and family room with a large island perfect for entertaining. Living room features a wood burning fireplace. The private, partially paved and well manicured backyard features a gazebo, a shed for extra storage, and a built in fire pit.
40001130	3 Shasta Pass	07023	FANWOOD	NJ	40.645894	-74.379777	NA	3	1.5	NA	10011	1958	NA	NA	NA	Garage - Attached	NA	Forced air	Dining room	NA	NA	NA
40001134	17 Timberline Dr	07023	FANWOOD	NJ	40.647743	-74.381012	NA	2	1.0	984	6969	1960	NA	NA	NA	NA	NA	NA	NA	NA	NA	Step back in time to this perfecty kept "Contemporary" home!  Great section of town, close to all schools and train! Updates  include vinyl siding,roof and furnace - Great alternative to a townhome !
40001136	13 Timberline Dr	07023	FANWOOD	NJ	40.647453	-74.381288	NA	3	1.5	NA	6969	1958	NA	NA	NA	NA	NA	NA	NA	NA	NA	Immaculate, move in condition. New kitchen, granite countertops. Hardwood floors. New bathrooms. Vinyl siding, fenced in yard. Central air conditioning. 1 car garage, updated electric. Attic storage pull down stairs. Washer/dryer stays with unit. Landlord pays lawn maintenance. Available 6/15/12.
40001137	11 Timberline Dr	07023	FANWOOD	NJ	40.6473	-74.381413	NA	3	2.0	1600	7454	1954	2007	1	NA	Garage - Attached	Gas	Forced air	Dining room, Laundry room, Workshop, Recreation room, Family room	NA	NA	This is a must see. Updated Kitchen, Updated Bathrooms, Finished Basement, and Hardwood Floors. This will not last. Just move right in. Enjoy the summer nights on your new 23 X 24 foot deck. Kitchen has solid cherry cabinets with under counter lighting. Bedrooms have ceiling fans. Every window was replaced in 2006 with double pane UV coated windows. Solid oak refinished flooring and new oak staircases throughout. Every room is wired for CATV, phone and cat5 (Internet). Large composite deck with built in Bull Frog hot tub, low voltage accent lighting and a natural gas hook up for Bar B Que grill. Ample attic space with thermostated attic fan. All this and a fenced in yard with a shed for storage.
40001142	9 Rainier Rd	07023	FANWOOD	NJ	40.646656	-74.38187	NA	3	2.0	1675	13360	1955	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gorgeous Home w elegant updates & in move-in condition. Large family room, deck & backyard, hardwood floors, den as guest room / office, newly finished basement. Walk to Train, Town, Park, School. Den currently used as an Au-Pair Suite with full bathroom on the ground level . New shed 2014. Inclusions: Kitchen Refrigerator, Washer, Dryer, Blinds, Play set, 2nd Floor Bath Room Storage Cabinet.
40001144	44 Glenwood Rd	07023	FANWOOD	NJ	40.64681	-74.382416	NA	3	2.0	1425	9440	1955	NA	NA	NA	NA	Oil	NA	NA	NA	NA	AN ABSOLUTE "MUST SEE" HOME IN FANWOOD! TRULY, A SPECIAL HOME W/ 3 BEDROOMS 2 UPDATED BATHS, DINING ROOM, LIVING ROOM, FAMILY ROOM, HOME OFFICE AND RECREATION ROOM. ALL LIVING SPACE IN IMPECCABLE CONDITION!. IT FEATURES MANY UPGRADES INCLUDING: BAY WINDOWS, HIGH HAT LIGHTING THROUGH OUT, NEWER 2 CAR DRIVEWAY AND 1 1/2 GARAGE, PAVER GARDEN WALL, DECK AND PATIO, WHOLE HOUSE WATER FILTRATION, NEW SUMP PUMP W/ BATTERY BACK UP, BUILT IN CABINETS IN OFFICE AND SO MUCH MORE!!! Brokered And Advertised By: Exit Prestige Realty Listing Agent: Antonette Daddio
40001145	46 Glenwood Rd	07023	FANWOOD	NJ	40.646974	-74.382251	NA	3	2.0	1425	8276	1955	NA	2	NA	Garage - Attached	Gas	Forced air	Dining room	NA	NA	Delightful sunny open floor plan, a pleasure to show. Remodeled Kitchen w/granite counter tops, a true chef's delight.  Built in desk area. Hardwood floors in LR and DR.  First floor gathering room has abundant number of windows w/views of the backyard and sliders to deck for easy entertaining.  Rec Rm on lower level w/ full bath and access to extra long garage w/ opener.  Basement waiting to be finished is a great space for storage, laundry and workshop.  Top floor has refinished hardwood floors in all 3 bedrooms, lots of closets and remodeled full bath.  Bring your furniture there is nothing to do.
40001148	52 Glenwood Rd	07023	FANWOOD	NJ	40.647425	-74.381808	NA	4	2.0	1800	8000	1958	NA	1	NA	Garage - Attached	Gas	Forced air	Breakfast nook, Dining room, Family room, Office, Pantry, Sun room	NA	NA	WONDERFUL HOME, MOVE-IN READY! 
- Beautiful Spilt Level Home, Crown moldings, great flow for entertaining. 
- Kitchen has ample counters, storage and a breakfast bar opening to the dining room. 
- 3 Season Room has new w/w and overlooks spacious rear yard. 
- Grade level has 4th bedroom and an full bathroom. 
- Basement is clean with high ceilings ready for your new rec room. 

Other amenities include: 
2017 - Upgraded all Kitchen Appliances and Washer Dryer
2017 - Installed Energy saving Recessed Lights and Fan in all Bedrooms
2017 - New Hardwood Floor in Kitchen
2017 - Installed new HVAC - 2 Stage Heater and 3 ton AC compressor.
2017 - Duct cleaned.
2017 - Changed all lights in home(Living room/Kitchen/Bathrooms) with energy saving spot lights.
2016 - Converted Half bath to Full Bathroom - Standing shower
2016 - New hardwood floor in three bedroom.
2016 - New Custom Closets in all Bedrooms and Coat Closet in Living Area.
2016 - New Chandelier
2016 - Newly painted all three bedrooms
2015 - Paver walkway/front steps 
2014 - Whole House Generator - 22KWs
2014 - New Roof 
2013 - Int. Doors 
2014 - Updated Electric 
privacy fence, landscaping and more.  




40001151	58 Glenwood Rd	07023	FANWOOD	NJ	40.647884	-74.381359	NA	NA	NA	750	6969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40001153	62 Glenwood Rd	07023	FANWOOD	NJ	40.648187	-74.381062	NA	3	2.0	1425	7418	1955	NA	NA	NA	NA	NA	NA	NA	NA	NA	Exceptional split level home in great neighborhood. Finished basement. Recently painted, all hardwood floors redone, new carpet in family room, new kitchen tile floor, new kitchen granite counter tops and tile backsplash. Possible 4th bedroom in finished basement. Close to shopping and NYC transportation.
40001162	25 Rainier Rd	07023	FANWOOD	NJ	40.646506	-74.380646	NA	3	2.0	1500	8697	1954	NA	1	NA	Garage - Attached	NA	NA	NA	NA	Scotch Plains Fanwood School District	Wonderful sun filled home with many updates. Lrge Liv Rm w/fp,Din Rm w/Sliders to deck,Updated open Kit,Fam Rm with full bath,updated 2nd bath w/skylights,Cent Air,Hardwood Floors.Great House !!
40001163	2 Timberline Dr	07023	FANWOOD	NJ	40.646453	-74.380995	NA	3	2.0	NA	8398	1955	2010	2	NA	Garage - Attached	NA	NA	NA	NA	NA	NA
40001164	4 Timberline Dr	07023	FANWOOD	NJ	40.646665	-74.380979	NA	3	2.0	1416	7405	1954	NA	2	NA	Garage - Attached	Gas	Forced air	Dining room, Family room, Recreation room, Sun room	NA	NA	This unexpectedly spacious and sun filled home surprises you at every turn. The generous living room with picture window flows to the dining room. Here, a French door swings back to reveal a delightful sun room, with windows on two walls, that opens to the backyard. The adjacent kitchen is sizeable and provides you with a desk area, essential appliances and ample room for a table. The family room with updated full bath and the rec room with wall-to-wall carpeting and recessed lighting both accommodate a myriad of activities. There are three bedrooms, all with good closet space and another updated bath on the second floor. A serene yet convenient location adds to this homes allure. Boasting the flowing updates: furnace, central air-conditioning, 200 amp electric service, and more, this home is sure to be enjoyed by you, your family and friends for many years to come!
40001166	8 Timberline Dr	07023	FANWOOD	NJ	40.647025	-74.38094	NA	3	1.25	NA	6739	NA	NA	1	NA	Garage - Attached	Gas	Forced air	Dining room, Family room, Sun room	NA	NA	NA
40001171	20 Timberline Dr	07023	FANWOOD	NJ	40.647779	-74.380286	NA	3	2.0	1450	6826	1958	2016	2	NA	Garage - Attached	Gas	Forced air	Dining room, Family room, Laundry room, Master bath	NA	NA	Exclusively listed by Michelle Pais Group - Signature Realty NJ. Please call 908-868-6581 for showing instructions.
FOR MORE INFORMATION ON THIS HOME, PLEASE VISIT:
http://bit.ly/20TimberlineDr-Fanwood

Stop the car! Completely renovated 2016 split-level loaded with quality craftsmanship throughout three levels of finished living space equipped with 3 bed and 1.5 baths. Upgrades include: kitchen with SS appliances, fantastic formal dining room, spacious living room, gleaming wood floors, attached garage and more!  Easy NYC commute and easy access to major highways. Location! Location! Location!
40001172	22 Timberline Dr	07023	FANWOOD	NJ	40.647933	-74.380137	NA	3	1.0	NA	7876	1959	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pristine 3 Bdrm Split Level Home in Move-in Condition!
40001174	90 Glenwood Rd	07023	FANWOOD	NJ	40.647376	-74.379223	NA	4	2.5	1475	6534	1958	NA	NA	NA	NA	NA	NA	NA	NA	NA	Beautifully renovated home with gleaming hardwood floors throughout, new kitchen addition with stainless steel appliances, quartz counters, new composite deck, new master bedroom suite addition with tray ceiling, master bath with double sinks and huge walk-in closet.  Finished lower level, all new bathrooms, new roof, new HVAC, new HWH, new Andersen windows, new electric, new plumbing, new front walkway, new blacktop driveway and so much more. Located in one of Fanwood's most desirable neighborhoods.  Fantastic location on quiet street. Walk to Brunner Elementary and HS.
40001176	94 Glenwood Rd	07023	FANWOOD	NJ	40.647164	-74.378845	NA	3	2.0	1740	6534	1958	NA	NA	NA	NA	NA	NA	Family room, Dining room	NA	NA	Sparkling updated home with cathedralled ceiling family room with fireplace,full bath and kitchen addition in 2007.Upscale cedar shake vinyl siding.Ground level den could be made into 4th bedroom. Stately front porch with Southern pillars.Easy walk to transportation,schools,and parks.
40001186	124 Glenwood Rd	07023	FANWOOD	NJ	40.646719	-74.378664	NA	3	2.0	6500	6499	1955	2011	3	NA	Garage - Attached	Gas	Forced air	Dining room, Family room, Laundry room, Office	NA	NA	NA
40001190	132 Glenwood Rd	07023	FANWOOD	NJ	40.647152	-74.379437	NA	3	1.5	1725	6534	1958	NA	NA	NA	Garage - Attached	Gas	Forced air	NA	NA	NA	Nothing compares to this 8 room split level home. Kitchen and bath have been updated. Bright open floor plan with hardwood floors, new carpet, bay window in open living room. Den and family room. Open family room on the ground level with skylights. Living room Dining room kitchen on the mail floor. 3 bedrooms and updated main bath o the 2nd floor. Ground floor utility room, with den. Home has been freshly painted and is just perfect.
40001193	75 Westfield Rd	07023	FANWOOD	NJ	40.647481	-74.377388	NA	3	2.0	1233	25700	1935	NA	NA	NA	NA	NA	Other	Sun room, Laundry room, Dining room	NA	NA	Meticulously maintained colonial/cape on spectacular property on lot size of 100 X 259 - Featuring hardwoods throughout, updated kitchen with granite and SS appliances, leading to large deck and parklike backyard. Living room with woodburning fireplace also leads to charming screened porch. Convenient first floor laundry. Backyard has an extra building on lot w/electric that can be used as workshop/studio etc. Bonus - invisibile dog fence surrounds property. Convenient walk to schools, and public transportation. This is a must see!
40001197	95 Glenwood Rd	07023	FANWOOD	NJ	40.647403	-74.378353	NA	3	2.0	1425	7501	1958	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tastefully updated Split Level with shiny hardwood floors throughout. Updated kitchen(2012) with S/S appliances, back splash and granite countertops. Updated cozy bathroom with granite countertops. Large fenced backyard for your entertainment. Newer driveway(2011). Professionally landscaped. Spacious family room with hardwood floors on the ground level. Totally gorgeous home!
40001199	99 Glenwood Rd	07023	FANWOOD	NJ	40.64717	-74.377935	NA	3	1.5	1450	6969	1957	NA	NA	NA	NA	NA	NA	NA	NA	Scotch Plains Fanwood School District	Updated split with hardwood floors, renovated kitchen, family room and sun porch providing extra space. Vinyl sided, replacement windows, central air, attached garage, basement. Stop in today.
40001200	101 Glenwood Rd	07023	FANWOOD	NJ	40.647056	-74.377728	NA	3	2.0	1584	7000	1954	NA	NA	NA	Garage - Attached	Electric, Gas	Forced air	NA	NA	NA	NA
40001202	105 Glenwood Rd	07023	FANWOOD	NJ	40.64678	-74.377283	NA	3	2.0	1675	7739	1954	NA	NA	NA	NA	NA	NA	NA	NA	NA	Move- in ready. Extra large eat-in kitchen addition with granite counters and lots of light could be used as a family room too. Replacement windows in kitchen and office only. Former dining room converted to office, could also be used as playroom. lower level den has full bath if you need a separate guest room. Kitchen has granite counters, breakfast bar, cathedral ceiling and lots of natural light. 2 newer bathrooms. newly painted. Great outdoor space; EXTRA-large wrap around deck with hot Tub, fenced private yard. Check out the Hot Tub it is open and ready.
40001204	1 Morse Ave	07023	FANWOOD	NJ	40.64639	-74.376664	NA	3	1.5	1384	9583	1954	NA	NA	NA	Garage - Attached	Gas	Forced air	NA	NA	NA	NA
40001206	109 Glenwood Rd	07023	FANWOOD	NJ	40.64633	-74.377157	NA	3	2.0	NA	6360	1954	NA	NA	NA	Garage - Attached	Gas	Forced air	Dining room	NA	NA	Home was Expanded in Kitchen,DR,Den together w/sliders to Deck &Pool Area on to fenced in yard! Must see Rooms are larger than most Split Levels in the area.EIKw/Granite,ceramic Flrs,42"Cab.,Hdwd Flrs All Appliances newer ,3 Refrigerators incl.,Bosch DW,,etc. sep.eating area,Center Island,Desk area,Sersound sound stero sys. interior & exterior,Skylights,High Hats,Archways,LR w/wood burning Frpl.,oversized DR,Gar.Door Opener is not operable! Full Fin.Basement ,also extended in 2012 so its larger than a normal Split Level w/dry bar,etc. 7 Zone Sprinkler Sys. Must see!
40001207	111 Glenwood Rd	07023	FANWOOD	NJ	40.646089	-74.377196	NA	3	1.5	1624	15285	1953	2008	3	NA	Garage - Attached	Oil	Forced air	Dining room, Family room, Laundry room, Office, Recreation room	NA	Scotch Plains-Fanwood	NA
40001210	117 Glenwood Rd	07023	FANWOOD	NJ	40.645893	-74.378131	NA	3	2.0	1400	10890	1958	2013	3	None	Garage - Attached	Gas	Forced air	Family room, Laundry room, Recreation room	NA	NA	NA
